name,owner,issues,forks,stargazers,watchers,forkCount,full_name,created_at,isPrivate
ccmc-software,ccmc,6,4,7,3,6,ccmc/ccmc-software,2015-08-13T20:51:18Z,FALSE
conda-recipes,ccmc,0,4,1,3,6,ccmc/conda-recipes,2016-03-23T14:58:12Z,FALSE
lightkurve,KeplerGO,241,53,93,15,56,KeplerGO/lightkurve,2018-01-22T00:49:59Z,FALSE
KeplerScienceWebsite,KeplerGO,107,12,9,9,16,KeplerGO/KeplerScienceWebsite,2015-07-29T17:37:16Z,FALSE
kadenza,KeplerGO,6,11,11,7,14,KeplerGO/kadenza,2015-09-27T02:01:50Z,FALSE
k2mosaic,KeplerGO,11,7,9,6,10,KeplerGO/k2mosaic,2016-02-26T05:38:29Z,FALSE
ScientificOpportunities,KeplerGO,22,0,15,8,0,KeplerGO/ScientificOpportunities,2018-10-29T21:58:35Z,FALSE
K2ephem,KeplerGO,5,6,7,4,8,KeplerGO/K2ephem,2015-11-25T03:45:42Z,FALSE
k2-quality-control,KeplerGO,3,5,3,2,7,KeplerGO/k2-quality-control,2016-09-03T02:07:25Z,FALSE
pyke,KeplerGO,84,33,110,17,36,KeplerGO/pyke,2015-06-25T05:02:07Z,FALSE
k2flix,KeplerGO,11,5,15,2,6,KeplerGO/k2flix,2015-02-01T23:16:14Z,FALSE
oktopus,KeplerGO,5,4,11,4,4,KeplerGO/oktopus,2017-03-10T19:00:38Z,FALSE
K2fov,KeplerGO,7,9,7,3,11,KeplerGO/K2fov,2015-06-25T05:00:39Z,FALSE
lightkurve-paper,KeplerGO,3,2,0,4,2,KeplerGO/lightkurve-paper,2018-01-17T03:20:53Z,FALSE
old-ideas,KeplerGO,9,0,0,7,0,KeplerGO/old-ideas,2018-02-06T20:10:14Z,FALSE
kepler-science-tutorials,KeplerGO,1,0,1,8,0,KeplerGO/kepler-science-tutorials,2018-02-07T23:27:24Z,FALSE
kpub,KeplerGO,7,4,14,5,6,KeplerGO/kpub,2015-07-02T17:04:28Z,FALSE
k2-footprint-plots,KeplerGO,0,4,2,2,6,KeplerGO/k2-footprint-plots,2016-12-12T11:00:12Z,FALSE
kepler-dashboard,KeplerGO,1,3,2,1,3,KeplerGO/kepler-dashboard,2016-08-20T21:25:24Z,FALSE
Common-Metadata-Repository,nasa,6,46,179,25,50,nasa/Common-Metadata-Repository,2016-11-29T20:41:30Z,FALSE
bingo,nasa,1,7,8,7,7,nasa/bingo,2018-10-10T17:42:44Z,FALSE
earthdata-search,nasa,9,136,463,58,147,nasa/earthdata-search,2015-08-13T17:13:40Z,FALSE
cumulus,nasa,22,27,63,27,30,nasa/cumulus,2017-06-30T10:52:28Z,FALSE
SMCPy,nasa,12,3,9,5,3,nasa/SMCPy,2018-11-02T15:45:32Z,FALSE
CompDam_DGD,nasa,3,20,22,15,26,nasa/CompDam_DGD,2016-07-14T15:05:39Z,FALSE
trick,nasa,637,110,387,64,122,nasa/trick,2015-02-17T16:17:32Z,FALSE
code-nasa-gov,nasa,41,43,189,22,49,nasa/code-nasa-gov,2016-05-26T17:08:55Z,FALSE
edsc-timeline,nasa,0,4,12,15,9,nasa/edsc-timeline,2015-08-31T15:22:43Z,FALSE
edsc-echoforms,nasa,0,12,5,18,17,nasa/edsc-echoforms,2015-08-18T18:53:29Z,FALSE
fprime,nasa,19,31,62,19,39,nasa/fprime,2017-06-22T12:45:27Z,FALSE
podaacpy,nasa,63,19,35,11,23,nasa/podaacpy,2016-02-13T20:36:08Z,FALSE
RHEAS,nasa,102,44,62,28,53,nasa/RHEAS,2015-11-16T14:57:18Z,FALSE
utm-docs,nasa,35,4,4,9,6,nasa/utm-docs,2018-03-21T17:08:19Z,FALSE
cumulus-dashboard,nasa,221,7,16,22,9,nasa/cumulus-dashboard,2017-01-23T21:17:55Z,FALSE
nos3,nasa,10,6,21,11,8,nasa/nos3,2018-08-02T20:29:44Z,FALSE
mmt,nasa,1,19,34,11,24,nasa/mmt,2017-03-07T18:03:55Z,FALSE
CCDD,nasa,61,12,30,17,17,nasa/CCDD,2017-01-10T19:45:20Z,FALSE
eefs,nasa,2,54,129,37,63,nasa/eefs,2014-05-07T14:18:01Z,FALSE
openmct,nasa,1378,663,7612,273,704,nasa/openmct,2015-06-02T18:40:28Z,FALSE
cFE,nasa,18,31,56,20,35,nasa/cFE,2017-06-29T18:13:26Z,FALSE
bingocpp,nasa,0,2,4,5,2,nasa/bingocpp,2018-10-10T17:43:29Z,FALSE
NASA-Acronyms,nasa,1,5,5,4,5,nasa/NASA-Acronyms,2018-11-06T21:53:38Z,FALSE
cumulus-api,nasa,164,1,6,25,3,nasa/cumulus-api,2016-08-10T14:41:57Z,FALSE
MLMCPy,nasa,11,4,9,4,4,nasa/MLMCPy,2018-11-01T17:25:39Z,FALSE
SROMPy,nasa,17,8,5,6,10,nasa/SROMPy,2016-11-23T18:20:07Z,FALSE
cumulus-template-deploy,nasa,2,3,2,13,5,nasa/cumulus-template-deploy,2018-02-14T15:45:48Z,FALSE
CFS-101,nasa,4,4,13,9,6,nasa/CFS-101,2017-11-02T15:44:47Z,FALSE
common-mapping-client,nasa,27,12,34,8,14,nasa/common-mapping-client,2018-02-06T19:30:10Z,FALSE
apod-api,nasa,16,42,167,26,49,nasa/apod-api,2015-12-01T21:33:12Z,FALSE
Open-Source-Catalog,nasa,2,85,167,44,90,nasa/Open-Source-Catalog,2014-09-18T21:05:03Z,FALSE
RtRetrievalFramework,nasa,8,18,16,11,23,nasa/RtRetrievalFramework,2015-12-09T15:06:32Z,FALSE
ECI,nasa,3,2,2,4,2,nasa/ECI,2018-11-28T18:36:20Z,FALSE
BrightComets,nasa,1,6,12,6,9,nasa/BrightComets,2018-09-19T18:05:43Z,FALSE
cumulus-ecs-task,nasa,0,2,0,11,4,nasa/cumulus-ecs-task,2018-03-05T04:57:19Z,FALSE
IDF,nasa,23,34,55,12,42,nasa/IDF,2016-06-15T14:53:05Z,FALSE
cmr-metadata-review,nasa,1,2,9,10,4,nasa/cmr-metadata-review,2018-06-26T15:34:52Z,FALSE
cmr-csw,nasa,0,4,1,12,6,nasa/cmr-csw,2017-06-22T20:23:31Z,FALSE
Kodiak,nasa,6,30,83,17,37,nasa/Kodiak,2014-04-23T14:47:05Z,FALSE
XPlaneConnect,nasa,95,111,215,47,123,nasa/XPlaneConnect,2014-10-22T22:10:26Z,FALSE
SCA,nasa,1,0,5,5,0,nasa/SCA,2019-02-26T04:32:38Z,FALSE
DON-Federate-HLA2MPC,nasa,1,1,0,5,3,nasa/DON-Federate-HLA2MPC,2017-08-17T00:44:14Z,FALSE
multipath-tcp-tools,nasa,3,5,27,7,8,nasa/multipath-tcp-tools,2017-06-26T14:48:18Z,FALSE
utm-apis,nasa,132,13,31,23,17,nasa/utm-apis,2017-06-22T16:46:28Z,FALSE
cratous,nasa,0,4,2,5,4,nasa/cratous,2018-11-26T22:56:00Z,FALSE
europa,nasa,177,50,111,35,60,nasa/europa,2014-10-15T20:59:23Z,FALSE
nasa-latex-docs,nasa,5,53,116,23,59,nasa/nasa-latex-docs,2016-02-05T14:42:42Z,FALSE
NASA-APIs,nasa,23,18,73,29,27,nasa/NASA-APIs,2013-05-20T21:11:36Z,FALSE
kepler-robovetter,nasa,0,7,12,9,10,nasa/kepler-robovetter,2017-04-13T00:35:38Z,FALSE
cmr-opensearch,nasa,0,7,2,11,9,nasa/cmr-opensearch,2017-06-22T20:25:11Z,FALSE
GSAP,nasa,14,34,55,13,38,nasa/GSAP,2017-01-04T14:23:48Z,FALSE
astrobot,nasa,2,26,49,13,33,nasa/astrobot,2015-08-27T20:15:57Z,FALSE
NASTRAN-95,nasa,10,82,128,44,100,nasa/NASTRAN-95,2015-12-03T15:15:25Z,FALSE
MCMCPy,nasa,11,0,3,4,0,nasa/MCMCPy,2018-11-26T20:15:04Z,FALSE
icarous,nasa,7,41,68,21,49,nasa/icarous,2016-08-19T15:04:43Z,FALSE
openmct-tutorial,nasa,24,34,83,17,39,nasa/openmct-tutorial,2017-02-16T01:16:54Z,FALSE
NASA-3D-Resources,nasa,15,218,1582,220,234,nasa/NASA-3D-Resources,2014-07-23T21:59:37Z,FALSE
cumulus-message-adapter-python,nasa,0,1,0,13,3,nasa/cumulus-message-adapter-python,2018-01-25T21:06:20Z,FALSE
CFL3D,nasa,7,94,103,55,100,nasa/CFL3D,2017-07-07T16:44:34Z,FALSE
cumulus-message-adapter-java,nasa,0,2,1,12,4,nasa/cumulus-message-adapter-java,2018-01-17T15:41:31Z,FALSE
DERT,nasa,8,48,106,31,56,nasa/DERT,2015-11-17T23:40:46Z,FALSE
api-docs,nasa,89,52,223,45,61,nasa/api-docs,2015-02-02T16:05:35Z,FALSE
SET,NASA-DEVELOP,7,2,6,7,2,NASA-DEVELOP/SET,2018-01-08T21:11:06Z,FALSE
METRIC,NASA-DEVELOP,9,23,30,15,25,NASA-DEVELOP/METRIC,2015-09-21T18:47:39Z,FALSE
dnppy,NASA-DEVELOP,64,26,53,24,28,NASA-DEVELOP/dnppy,2015-03-04T21:17:11Z,FALSE
VOCAL,NASA-DEVELOP,94,3,14,13,4,NASA-DEVELOP/VOCAL,2015-06-02T14:21:05Z,FALSE
LCD,NASA-DEVELOP,0,3,5,5,3,NASA-DEVELOP/LCD,2018-02-12T15:48:48Z,FALSE
M-SRM,NASA-DEVELOP,1,10,10,14,12,NASA-DEVELOP/M-SRM,2015-03-04T21:37:26Z,FALSE
PiCo,NASA-DEVELOP,1,1,2,6,2,NASA-DEVELOP/PiCo,2017-05-05T19:41:14Z,FALSE
DRIP-SLIP,NASA-DEVELOP,1,24,32,16,28,NASA-DEVELOP/DRIP-SLIP,2016-06-24T15:01:49Z,FALSE
DSAT,NASA-DEVELOP,0,13,6,9,15,NASA-DEVELOP/DSAT,2016-03-29T12:11:34Z,FALSE
worldview,nasa-gibs,1075,103,377,39,109,nasa-gibs/worldview,2014-04-22T12:37:53Z,FALSE
mrf,nasa-gibs,23,18,43,23,20,nasa-gibs/mrf,2014-05-29T00:51:27Z,FALSE
onearth,nasa-gibs,48,35,109,30,37,nasa-gibs/onearth,2013-12-05T00:08:57Z,FALSE
worldview-options-eosdis,nasa-gibs,10,16,9,12,18,nasa-gibs/worldview-options-eosdis,2014-05-07T19:51:31Z,FALSE
worldview-components,nasa-gibs,14,3,5,13,4,nasa-gibs/worldview-components,2016-08-08T13:36:30Z,FALSE
gibs-web-examples,nasa-gibs,15,45,111,30,47,nasa-gibs/gibs-web-examples,2013-12-03T00:25:20Z,FALSE
mod_mrf,nasa-gibs,0,0,0,15,0,nasa-gibs/mod_mrf,2017-05-31T01:43:25Z,FALSE
National-Maritime-Intelligence-Integration-Office-NMIO-Fishing-for-Fishermen,NASA-Tournament-Lab,1,0,0,3,1,NASA-Tournament-Lab/National-Maritime-Intelligence-Integration-Office-NMIO-Fishing-for-Fishermen,2017-08-30T02:08:55Z,FALSE
coeci-cms-mpsp,NASA-Tournament-Lab,136,30,8,16,41,NASA-Tournament-Lab/coeci-cms-mpsp,2013-03-26T14:21:18Z,FALSE
WorldWindAndroid,NASAWorldWind,169,72,129,28,77,NASAWorldWind/WorldWindAndroid,2016-02-18T18:46:52Z,FALSE
WebWorldWind,NASAWorldWind,506,166,397,58,185,NASAWorldWind/WebWorldWind,2015-08-29T00:15:59Z,FALSE
WorldWindJava,NASAWorldWind,109,180,324,82,192,NASAWorldWind/WorldWindJava,2015-10-27T00:18:02Z,FALSE
WorldWindServerKit,NASAWorldWind,138,35,48,21,37,NASAWorldWind/WorldWindServerKit,2017-01-09T18:53:03Z,FALSE
NASAWorldWind.github.io,NASAWorldWind,85,14,17,16,16,NASAWorldWind/NASAWorldWind.github.io,2016-07-21T21:16:10Z,FALSE
StereoPipeline,NeoGeographyToolkit,224,68,191,41,107,NeoGeographyToolkit/StereoPipeline,2010-06-11T02:11:55Z,FALSE
BinaryBuilder,NeoGeographyToolkit,10,14,11,6,17,NeoGeographyToolkit/BinaryBuilder,2011-02-01T01:54:49Z,FALSE
Tools,NeoGeographyToolkit,0,5,4,6,8,NeoGeographyToolkit/Tools,2013-11-18T21:27:08Z,FALSE
MapViewer,SERVIR,1,0,0,5,0,SERVIR/MapViewer,2018-02-12T16:13:58Z,FALSE
tethysapp-water_watch,SERVIR,0,1,0,5,1,SERVIR/tethysapp-water_watch,2018-07-06T17:05:21Z,FALSE
sunpy-1.0-paper,sunpy,5,4,1,7,4,sunpy/sunpy-1.0-paper,2019-03-20T18:46:52Z,FALSE
sunpy,sunpy,968,314,423,45,328,sunpy/sunpy,2011-08-06T15:34:08Z,FALSE
sunpy-figure-tests,sunpy,2,4,0,5,4,sunpy/sunpy-figure-tests,2016-01-12T03:46:06Z,FALSE
ndcube,sunpy,58,18,13,5,18,sunpy/ndcube,2017-08-15T16:07:57Z,FALSE
sunpy-sphinx-theme,sunpy,41,9,5,3,9,sunpy/sunpy-sphinx-theme,2017-06-30T13:22:46Z,FALSE
sunpy.org,sunpy,50,17,7,9,18,sunpy/sunpy.org,2013-12-14T00:49:26Z,FALSE
irispy,sunpy,28,12,3,10,12,sunpy/irispy,2017-02-27T15:14:15Z,FALSE
sunkit-image,sunpy,16,17,6,15,17,sunpy/sunkit-image,2017-11-01T18:30:22Z,FALSE
.github,sunpy,2,0,0,3,0,sunpy/.github,2019-03-29T11:14:29Z,FALSE
drms,sunpy,11,13,9,5,13,sunpy/drms,2016-05-12T15:04:55Z,FALSE
sunpy-SEP,sunpy,12,15,1,9,17,sunpy/sunpy-SEP,2014-03-05T19:59:40Z,FALSE
radiospectra,sunpy,18,6,3,4,6,sunpy/radiospectra,2017-07-06T11:23:25Z,FALSE
roadmap,sunpy,0,1,0,9,1,sunpy/roadmap,2018-12-05T23:38:17Z,FALSE
solarbextrapolation,sunpy,13,9,8,4,9,sunpy/solarbextrapolation,2015-06-04T16:07:49Z,FALSE
ablog,sunpy,20,6,34,10,6,sunpy/ablog,2018-02-09T13:48:16Z,FALSE
2016SPD-Python-SunPy,sunpy,1,2,1,4,2,sunpy/2016SPD-Python-SunPy,2016-05-31T17:25:13Z,FALSE
SPD_2017,sunpy,1,0,1,5,0,sunpy/SPD_2017,2017-08-09T20:12:20Z,FALSE
sample-data,sunpy,5,3,0,4,3,sunpy/sample-data,2017-05-14T21:45:51Z,FALSE
tutorial-notebooks,sunpy,1,5,6,7,5,sunpy/tutorial-notebooks,2016-05-25T14:17:18Z,FALSE
sunpy-bot,sunpy,1,0,0,3,0,sunpy/sunpy-bot,2018-05-28T15:12:08Z,FALSE
xrayvision,sunpy,18,3,3,4,3,sunpy/xrayvision,2017-06-29T10:34:07Z,FALSE
presentations,sunpy,0,10,1,12,11,sunpy/presentations,2012-06-28T18:05:40Z,FALSE
package-template,sunpy,1,2,1,4,2,sunpy/package-template,2016-11-24T11:32:21Z,FALSE
visionworkbench,visionworkbench,40,139,342,38,221,visionworkbench/visionworkbench,2010-05-14T02:48:33Z,FALSE